xc1,xc2,w1,w2
5.224,4.843,0.100288518314682,0.0542956925747786
5.197,4.864,0.0871987491406099,0.0526242693325747
5.215,9.901,0.109013487386074,0.081024572770044
5.239,4.918,0.0989843473057475,0.0562966439846466
5.254,4.945,0.10620396639897,0.0581282946497659
5.272,4.969,0.123070333080319,0.0482581919895928
5.308,4.993,0.0844456589614335,0.0579727176816673
5.302,5.302,0.0885062606408722,0.0885062606408722
5.32,5.047,0.0813465293185356,0.0583168114139561
5.32,5.059,0.0857391250750439,0.0575117334050654
5.335,5.335,0.0830579332709158,0.0830579332709158
5.104,5.35,0.0601279037086195,0.0799914992430448
5.113,5.362,0.06243701218279,0.0677804361808709
5.137,5.383,0.0630469577427721,0.072529759591986
5.146,5.395,0.0662661964938209,0.0713130437803393
5.161,5.422,0.0678802540571617,0.0723862666760491
5.182,5.446,0.0688630089063595,0.0723134728735024
5.173,5.47,0.0720578397031284,0.0703275859863979
5.185,5.497,0.071794090776633,0.0730422810096307
5.209,5.527,0.0733797372355784,0.0694870474759881
5.203,5.545,0.0758038953511573,0.0734405725515259
5.2,5.563,0.075539272969543,0.0688248705474184
5.191,5.587,0.0779967389893796,0.074389306316192
5.215,5.611,0.0775348255061798,0.0852417301930419
5.227,5.647,0.0799143454523641,0.0771212329737452
5.209,5.674,0.0794269515005395,0.0886581406744016
5.203,5.695,0.0799029644461058,0.0791623356766822
5.203,5.203,0.0800565995953777,0.0800565995953777
5.212,5.212,0.0788611100069758,0.0788611100069758
5.215,5.215,0.0811500310078763,0.0811500310078763
5.215,5.215,0.0814922401154226,0.0814922401154226
5.23,5.23,0.0805211314854386,0.0805211314854386
5.221,5.221,0.0817730669092649,0.0817730669092649
5.245,5.245,0.0803146305408058,0.0803146305408058
5.227,5.227,0.082976524949161,0.082976524949161
5.215,5.215,0.0811440902990448,0.0811440902990448
5.236,5.236,0.0815311831240164,0.0815311831240164
5.224,5.224,0.0810600911029349,0.0810600911029349
5.218,5.218,0.0836074375560427,0.0836074375560427
5.236,5.236,0.0842487504766707,0.0842487504766707
5.23,5.23,0.0879767893204608,0.0879767893204608
5.236,5.236,0.0820573975170786,0.0820573975170786
5.233,5.233,0.0817803556935646,0.0817803556935646
5.248,5.248,0.0848009213526977,0.0848009213526977
5.233,5.233,0.0813590501954407,0.0813590501954407
5.254,5.254,0.0811111609081427,0.0811111609081427
5.218,5.218,0.0822227244291449,0.0822227244291449
5.23,5.23,0.0820637855287032,0.0820637855287032
5.227,5.227,0.0812249855871094,0.0812249855871094
5.215,5.215,0.0844289658672697,0.0844289658672697
5.242,5.242,0.084487358605049,0.084487358605049
5.239,5.239,0.0853065025911111,0.0853065025911111
5.257,5.257,0.0826123279407467,0.0826123279407467
