xc1,xc2,w1,w2
5.167,9.562,0.0878048198790928,0.167964546924479
5.209,9.61,0.097505120982186,0.162791772744077
5.212,9.661,0.105245814304714,0.151944618317316
5.2,9.712,0.0961005314583696,0.1509171374737
5.215,9.754,0.0855412768024673,0.147701109978682
5.206,9.796,0.0934653069390325,0.162263963038999
5.2,9.844,0.0984725440277705,0.142724617371425
5.197,9.892,0.102878544199855,0.121828324226193
5.224,9.931,0.106115792532033,0.0851599412506729
5.251,5.251,0.089688191256629,0.089688191256629
5.218,5.218,0.124983410882277,0.124983410882277
5.242,5.242,0.111427712387475,0.111427712387475
5.26,5.26,0.120172116404604,0.120172116404604
5.269,5.269,0.108157352935581,0.108157352935581
5.251,4.765,0.10531149116848,0.0523618016082184
5.272,4.801,0.0980813122158288,0.0559982602980993
5.227,4.822,0.0951575218387282,0.0638225033608029
5.281,4.846,0.10792896703051,0.0576108955590664
5.29,4.87,0.114292667459472,0.0783795551870741
5.302,4.9,0.114124984613508,0.0765692939793148
5.308,4.915,0.118561954917622,0.0627908521946443
5.329,4.942,0.106821230429036,0.0743154330271922
5.344,4.969,0.108734699376425,0.0610109847637341
5.359,4.996,0.105845680935595,0.0589034645313466
5.365,5.014,0.126829506959849,0.0591741793148746
5.353,5.032,0.138025829245147,0.0661987526526771
5.065,5.365,0.0582927116688605,0.108029123488818
5.071,5.392,0.0674700893163349,0.102711114730483
5.089,5.407,0.0648900720624352,0.100568853900485
5.104,5.422,0.064530331970885,0.0613335777497426
5.104,5.443,0.0704267744466334,0.0609003537392114
5.125,5.47,0.0653322370195317,0.0577434496290161
5.149,5.497,0.0662718677299408,0.0574361934082956
5.161,5.521,0.0674781376002045,0.0553164702071989
5.158,5.545,0.0699217474645,0.0570106192642283
5.182,5.575,0.0698186738617848,0.0573522877950978
5.176,5.599,0.0718678833476112,0.0550471665528773
5.191,5.548,0.0723525365479283,0.0991620045708057
5.191,5.653,0.0742174166196916,0.0597316732612905
5.185,5.68,0.0750408310822248,0.0603805412105283
5.203,5.746,0.0747027213361804,0.0712241603046975
5.197,5.197,0.0759399938673697,0.0759399938673697
5.179,5.179,0.0771223400925907,0.0771223400925907
5.212,5.212,0.0762536507752642,0.0762536507752642
5.218,5.218,0.0762160370199565,0.0762160370199565
5.191,5.755,0.077626930807452,0.0723884610155521
5.215,5.215,0.0774919490207271,0.0774919490207271
5.221,5.221,0.0775497742420912,0.0775497742420912
5.203,5.203,0.0791183191973817,0.0791183191973817
5.218,5.218,0.0788376473952166,0.0788376473952166
5.227,5.227,0.078364330129693,0.078364330129693
5.23,5.23,0.0787323875702288,0.0787323875702288
5.221,5.221,0.0790342126824335,0.0790342126824335
5.233,5.233,0.079493572625787,0.079493572625787
5.233,5.233,0.0796708344421084,0.0796708344421084
5.224,5.224,0.0798069354018835,0.0798069354018835
5.254,5.254,0.0794103107689645,0.0794103107689645
5.233,5.233,0.0797915238910267,0.0797915238910267
5.224,5.224,0.0811423668553211,0.0811423668553211
5.233,6.19,0.0793236613882096,0.0535338775665082
5.227,5.227,0.0796745856744767,0.0796745856744767
5.221,5.221,0.0803179160291387,0.0803179160291387
5.242,5.242,0.080041679180102,0.080041679180102
5.245,5.245,0.0802022364700843,0.0802022364700843
5.23,5.23,0.0809658574622301,0.0809658574622301
5.236,5.236,0.0811163788360618,0.0811163788360618
5.245,5.245,0.0801890716211151,0.0801890716211151
5.242,5.242,0.0811552453987039,0.0811552453987039
5.227,5.227,0.0813183331879541,0.0813183331879541
5.242,5.242,0.0804015436143359,0.0804015436143359
5.245,5.245,0.0801260456720243,0.0801260456720243
5.236,5.236,0.080876034316927,0.080876034316927
5.236,5.236,0.0810753597999714,0.0810753597999714
5.236,5.236,0.0806239491275971,0.0806239491275971
5.236,5.236,0.0812185425094523,0.0812185425094523
5.257,5.257,0.081632383860736,0.081632383860736
5.242,5.242,0.08213082068644,0.08213082068644
5.233,5.233,0.0806742929080784,0.0806742929080784
5.254,5.254,0.0801119147944105,0.0801119147944105
5.248,5.248,0.0825520860596125,0.0825520860596125
5.23,5.23,0.0817331224140174,0.0817331224140174
5.239,5.239,0.0825880056800417,0.0825880056800417
5.236,5.236,0.0816764965579502,0.0816764965579502
5.242,5.242,0.0815936568872937,0.0815936568872937
5.245,5.245,0.0812124600565065,0.0812124600565065
5.233,5.233,0.0836844023424321,0.0836844023424321
5.248,5.248,0.0828305342532651,0.0828305342532651
5.239,5.239,0.0857098435156187,0.0857098435156187
5.239,5.239,0.0820459928114126,0.0820459928114126
5.236,5.236,0.0825056049135355,0.0825056049135355
5.23,5.23,0.085029634551848,0.085029634551848
5.254,5.254,0.0817962191080008,0.0817962191080008
5.233,5.233,0.0822657995068692,0.0822657995068692
5.227,5.227,0.0814104572628951,0.0814104572628951
5.224,5.224,0.082006081448954,0.082006081448954
5.254,5.254,0.0815492305954644,0.0815492305954644
5.23,5.23,0.081021536232984,0.081021536232984
5.239,5.239,0.0813207337184583,0.0813207337184583
5.251,5.251,0.083265312266672,0.083265312266672
5.257,5.257,0.0816438016283776,0.0816438016283776
5.224,5.224,0.0813452658223301,0.0813452658223301
5.251,5.251,0.0824662901651783,0.0824662901651783
5.245,5.245,0.0822156939352574,0.0822156939352574
5.242,5.242,0.0827913057836058,0.0827913057836058
5.257,5.257,0.0860701153888268,0.0860701153888268
5.251,5.251,0.0817339568442632,0.0817339568442632
5.239,5.239,0.0820426972360542,0.0820426972360542
5.242,5.242,0.0829354973805767,0.0829354973805767
